NAME,CASTE,GENDER,CUTOFF_RANK,BRANCH,TUITION_FEE
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,MALE,108158,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,FEMALE,108158,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,MALE,122921,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,FEMALE,122921,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,MALE,119718,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,FEMALE,119718,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,MALE,60487,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,FEMALE,86632,CSM,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,OC,MALE,57591,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,OC,FEMALE,59054,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,MALE,103331,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,FEMALE,114595,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,MALE,126070,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,FEMALE,126070,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,MALE,93221,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,FEMALE,121330,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,MALE,89426,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,FEMALE,102050,ECE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,OC,MALE,86708,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,OC,FEMALE,110535,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,MALE,86708,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,BC,FEMALE,110535,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,MALE,125932,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,SC,FEMALE,125932,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,MALE,86708,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,ST,FEMALE,110535,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,MALE,86708,EEE,90000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,EWS,FEMALE,110535,EEE,90000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,125212,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,125212,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,124878,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,124878,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,114575,CIV,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,47849,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,59262,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,100067,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,110565,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,122215,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,122215,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,90136,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,119720,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,58231,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,59262,CSC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,54478,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,56359,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,97267,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,108568,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,115640,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,120894,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,86080,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,119604,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,54478,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,58495,CSD,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,49668,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,55761,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,115082,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,115082,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,123948,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,124265,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,98990,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,124432,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,54879,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,59791,CSM,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,45341,ECE,89000
